Model,RMSE,MAE,Accuracy,R2,VAR
T-GCN,0.7197,0.4665,0.2763,0.4762,0.4765
DTC-STGCN-FD,0.9976,0.7397,-0.0032,-0.0064,-0.0043
DTC-STGCN-FR,0.9975,0.7397,-0.0031,-0.0062,-0.0042
HA,0.6070,0.3641,0.3447,0.5687,0.5687
SVR,0.9264,0.7065,-0.0003,-0.0047,-0.0007
GRU,0.5913,0.3675,0.4054,0.6465,0.6465
