Model,RMSE,MAE,Accuracy,R2,VAR
T-GCN,0.7095,0.4612,0.2858,0.4899,0.4901
DTC-STGCN-FD,0.9964,0.7393,-0.0030,-0.0060,-0.0037
DTC-STGCN-FR,0.9966,0.7396,-0.0032,-0.0065,-0.0042
HA,0.6091,0.3658,0.3417,0.5647,0.5647
SVR,0.9256,0.7062,-0.0003,-0.0051,-0.0007
GRU,0.5894,0.3701,0.4066,0.6479,0.6480
