Model,RMSE,MAE,Accuracy,R2,VAR
T-GCN,0.7178,0.4655,0.2780,0.4787,0.4790
DTC-STGCN-FD,0.9973,0.7397,-0.0032,-0.0063,-0.0042
DTC-STGCN-FR,0.9973,0.7399,-0.0031,-0.0063,-0.0042
HA,0.6077,0.3648,0.3437,0.5674,0.5674
SVR,0.9262,0.7065,-0.0003,-0.0048,-0.0007
GRU,0.5914,0.3691,0.4052,0.6462,0.6462
